date,price
2025-06-10,102.0999984741211
2025-06-11,102.19999694824219
2025-06-12,102.75
2025-06-13,103.25
2025-06-16,103.5
2025-06-17,104.0999984741211
2025-06-18,103.8499984741211
2025-06-20,103.9000015258789
2025-06-23,104.4000015258789
2025-06-24,103.3499984741211
2025-06-25,103.44999694824219
2025-06-26,103.6500015258789
2025-06-27,103.62999725341797
2025-06-30,107.5
2025-07-01,107.44999694824219
2025-07-02,108.8499984741211
2025-07-03,108.4000015258789
2025-07-07,106.19999694824219
2025-07-08,107.0
2025-07-09,108.0
2025-07-10,108.9000015258789
2025-07-11,108.8499984741211
2025-07-14,106.30000305175781
2025-07-15,104.9000015258789
2025-07-16,105.0
2025-07-17,104.6500015258789
2025-07-18,104.6500015258789
2025-07-21,104.1500015258789
2025-07-22,104.5
2025-07-23,104.6500015258789
2025-07-24,104.5
2025-07-25,104.41000366210938
2025-07-28,103.4000015258789
2025-07-29,104.8499984741211
2025-07-30,104.44999694824219
2025-07-31,104.05000305175781
2025-08-01,103.55000305175781
2025-08-04,103.1500015258789
2025-08-05,103.0
2025-08-06,102.19999694824219
2025-08-07,101.55000305175781
2025-08-08,101.0
2025-08-11,101.30000305175781
2025-08-12,100.30000305175781
2025-08-13,100.25
2025-08-14,99.6500015258789
2025-08-15,99.1500015258789
2025-08-18,99.5
2025-08-19,100.1500015258789
2025-08-20,100.5999984741211
2025-08-21,100.5
2025-08-22,99.9000015258789
2025-08-25,99.5
2025-08-26,100.4000015258789
2025-08-27,99.8499984741211
2025-08-28,99.55000305175781
2025-08-29,99.4000015258789
2025-09-02,96.69999694824219
2025-09-03,96.3499984741211
2025-09-04,95.75
2025-09-05,94.8499984741211
2025-09-08,94.5999984741211
2025-09-09,94.19999694824219
2025-09-10,93.0
2025-09-11,93.1500015258789
2025-09-12,93.0
2025-09-15,93.0
2025-09-16,93.3499984741211
2025-09-17,93.55000305175781
2025-09-18,94.1500015258789
2025-09-19,93.75
2025-09-22,93.0
2025-09-23,93.0
2025-09-24,93.0
2025-09-25,92.75
2025-09-26,92.94999694824219
2025-09-29,93.9000015258789
2025-09-30,93.75
2025-10-01,92.9000015258789
2025-10-02,92.19999694824219
2025-10-03,92.0
2025-10-06,91.5
2025-10-07,91.25
2025-10-08,90.5
2025-10-09,90.44999694824219
2025-10-10,89.6500015258789
2025-10-13,89.4000015258789
2025-10-14,89.25
2025-10-15,91.4000015258789
2025-10-16,93.0
2025-10-17,93.0
2025-10-20,92.6500015258789
2025-10-21,92.4000015258789
2025-10-22,92.05000305175781
2025-10-23,92.5999984741211
2025-10-24,92.4000015258789
2025-10-27,92.4000015258789
2025-10-28,92.5
2025-10-29,92.55000305175781
2025-10-30,93.0
2025-10-31,92.91999816894531
2025-11-03,96.0999984741211
2025-11-04,97.3499984741211
2025-11-05,97.19999694824219
2025-11-06,97.05000305175781
2025-11-07,96.9000015258789
2025-11-10,96.25
2025-11-11,95.9000015258789
2025-11-12,95.5999984741211
2025-11-13,95.4000015258789
2025-11-14,96.3499984741211
2025-11-17,96.5999984741211
2025-11-18,96.25
2025-11-19,96.25
2025-11-20,96.5
2025-11-21,95.5
2025-11-24,95.94999694824219
2025-11-25,96.0999984741211
2025-11-26,96.1500015258789
2025-11-28,96.29000091552734
2025-12-01,97.75
2025-12-02,99.5
2025-12-03,98.94999694824219
2025-12-04,97.3499984741211
2025-12-05,97.25
2025-12-08,97.05000305175781
2025-12-09,96.94999694824219
2025-12-10,96.5
2025-12-11,96.5
2025-12-12,96.75
2025-12-15,96.05000305175781
2025-12-16,95.75
2025-12-17,96.5
2025-12-18,97.0
2025-12-19,96.9000015258789
2025-12-22,96.5
2025-12-23,96.5
2025-12-24,96.55000305175781
2025-12-26,96.0
